Symbol,Open,Close,O-C change (%),High,Low,H-L change (%),DateTime,Market Sensitive,Headline,Link
CDD,0.22,0.23,4.55,0.24,0.22,9.09,2020-07-06 11:37:00,False,Change in substantial holding,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251946
DGO,3.69,3.28,-11.11,3.7,3.25,13.85,2020-07-06 11:36:00,False,Change of Director's Interest Notice - Ross Hutton,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251945
TOV,,,,,,,2020-07-06 11:29:00,False,VAH - Panel Receives Application,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251944
VAH,0.082,0.086,4.88,0.087,0.082,6.1,2020-07-06 11:29:00,False,TOV: VAH - Panel Receives Application,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251944
IFT,4.55,4.5,-1.1,4.63,4.5,2.89,2020-07-06 11:27:00,False,Infratil Limited Annual Meeting and Director Nominations,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251943
GCI,1.835,1.815,-1.09,1.835,1.81,1.38,2020-07-06 11:24:00,False,Net Tangible Asset Backing,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251942
NTL,0.006,0.006,0.0,0.006,0.006,0.0,2020-07-06 11:24:00,False,Letter to Shareholders,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251941
OVH,0.372,0.38,2.15,0.38,0.372,2.15,2020-07-06 11:17:00,False,Change in substantial holding - Tiga Trading Pty Ltd,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251940
PNR,0.27,0.265,-1.85,0.27,0.26,3.85,2020-07-06 11:16:00,False,Exercise of Unlisted Employee Options - Appendix 2A,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251939
MOT,1.68,1.69,0.6,1.72,1.675,2.69,2020-07-06 11:15:00,False,Daily Fund Update,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251938
OVH,0.372,0.38,2.15,0.38,0.372,2.15,2020-07-06 11:15:00,False,Change in substantial holding from TEK,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251937
TEK,0.25,0.255,2.0,0.255,0.25,2.0,2020-07-06 11:15:00,False,Change in substantial holding for OVH,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251937
CDX,0.025,0.027,8.0,0.03,0.024,25.0,2020-07-06 11:15:00,True,Restructure of inHealth Investment & Collaboration Agreement,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251936
RND,2.06,2.03,-1.46,2.06,2.03,1.48,2020-07-06 11:14:00,False,Updated Securities Trading Policy,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251935
TOP,0.475,0.47,-1.05,0.48,0.47,2.13,2020-07-06 11:13:00,False,Change in substantial holding for OVH,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251934
OVH,0.372,0.38,2.15,0.38,0.372,2.15,2020-07-06 11:13:00,False,Change in substantial holding from TOP,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251934
DGO,3.69,3.28,-11.11,3.7,3.25,13.85,2020-07-06 11:10:00,False,Change in substantial holding,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251933
AX8,0.029,0.032,10.34,0.057,0.029,96.55,2020-07-06 11:08:00,False,Accelerate Resources Board Restructure,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251932
AMC,15.17,15.18,0.07,15.26,15.09,1.13,2020-07-06 11:07:00,False,Chess Depositary Interest - AMC,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251931
PCI,0.97,0.98,1.03,0.98,0.965,1.55,2020-07-06 11:04:00,False,Daily Net Tangible Asset Statement,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251930
AGX,,,,,,,2020-07-06 11:04:00,False,Dividend Reinvestment Plan Price,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251929
IMP,,,,,,,2020-07-06 11:00:00,False,EIGA and IMPQ Monthly Units Release June 2020,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251928
EIG,,,,,,,2020-07-06 11:00:00,False,EIGA and IMPQ Monthly Units Release June 2020,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251928
CG1,0.19,0.245,28.95,0.28,0.19,47.37,2020-07-06 10:59:00,False,Proposed issue of Securities - CG1,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251927
CG1,0.19,0.245,28.95,0.28,0.19,47.37,2020-07-06 10:59:00,True,Capital Raising Presentation,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251926
CG1,0.19,0.245,28.95,0.28,0.19,47.37,2020-07-06 10:59:00,True,Carbonxt successfully completes capital raise,https://www.asx.com.au/asx/statistics/displayAnnouncement.do?display=pdf&idsId=02251925
